buoy_id,buoy_name,latitude,longitude,timestamp,temperature,salinity,ph,dissolved_oxygen,turbidity,chlorophyll,wave_height
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-11T09:00:00+00:00,29.71,34.33,8.26,216.2,8.4,10.04,5.6
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-11T12:00:00+00:00,28.22,34.85,8.21,221.6,6.3,5.68,5.8
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-11T13:00:00+00:00,27.97,34.57,8.25,196.8,6.7,4.02,4.9
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-11T14:00:00+00:00,27.89,34.78,8.2,227.7,5.3,4.23,5.5
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-11T20:00:00+00:00,29.37,34.54,8.24,226.6,4.2,9.83,5.3
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-11T23:00:00+00:00,28.76,34.22,8.06,207.9,9.9,10.33,5.2
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T02:00:00+00:00,28.69,34.85,8.24,206.1,5.5,11.05,5.2
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T08:00:00+00:00,29.56,34.69,8.23,239.1,4.2,2.15,5.5
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T14:00:00+00:00,28.15,35,8.17,202,9.7,9.34,6.3
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T15:00:00+00:00,28.6,34.43,8.08,222.1,4.3,10.36,5.2
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T16:00:00+00:00,28.04,34.23,8.16,201.3,11.6,10.85,3.7
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T19:00:00+00:00,28.41,34.5,8.17,210.3,10,2.59,5.5
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T20:00:00+00:00,28.2,34.58,8.23,249,3.2,10.26,5.5
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T21:00:00+00:00,28.08,34.21,8.25,196.9,9.7,2.67,4.9
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T22:00:00+00:00,29.72,34.5,8.11,200.3,3.2,5.82,4.6
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-12T23:00:00+00:00,29.34,34.68,8.09,226,6.8,7.87,3.7
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-13T05:00:00+00:00,29.36,34.57,8.2,238.9,8.7,7.82,5.7
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-13T11:00:00+00:00,29.39,34.49,8.14,227.9,5,9.45,4
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-13T17:00:00+00:00,28.47,34.47,8.22,202.5,12,9.01,3.5
NPS-2927-P,PelagicSensor 40,41.7797,-51.1279,2021-03-13T18:00:00+00:00,28,34.7,8.17,218.6,10.5,3.83,4.4
