buoy_id,buoy_name,latitude,longitude,timestamp,temperature,salinity,ph,dissolved_oxygen,turbidity,chlorophyll,wave_height
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-13T09:00:00+00:00,25.7,34.98,8.44,307.9,3.1,6.75,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-13T15:00:00+00:00,25.74,35.1,8.43,301,2.4,7.21,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-13T16:00:00+00:00,25.62,34.75,8.46,301,2.9,7.61,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-13T17:00:00+00:00,25.82,35.32,8.44,301.2,2.5,7.03,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-13T18:00:00+00:00,25.79,32.42,8.45,304.1,2.4,7.23,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T00:00:00+00:00,25.87,33.76,8.45,305,3.2,7.22,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T01:00:00+00:00,25.74,33.1,8.44,301.7,2.6,7.55,1.5
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T02:00:00+00:00,25.62,33.51,8.44,298.6,2.9,6.98,1.5
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T05:00:00+00:00,25.68,33.16,8.45,303.5,3.3,7.16,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T06:00:00+00:00,25.53,34.52,8.47,306.1,2.5,7.52,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T07:00:00+00:00,25.68,33.93,8.45,307.1,2.9,7.28,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T13:00:00+00:00,25.66,34.78,8.44,299.1,3,7.31,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T14:00:00+00:00,25.7,34.34,8.45,305.5,2.7,6.77,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T17:00:00+00:00,25.48,32.67,8.46,298.5,2.6,7.36,1.5
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-14T23:00:00+00:00,25.82,32.35,8.45,301.9,2.8,7.48,1.5
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-15T00:00:00+00:00,25.75,34.35,8.43,304.1,3.1,6.88,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-15T03:00:00+00:00,25.5,34.12,8.46,306.7,3.2,7.62,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-15T09:00:00+00:00,25.75,34.08,8.47,302.3,2.8,6.83,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-15T12:00:00+00:00,25.53,33.18,8.44,303.6,2.6,7.33,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-15T15:00:00+00:00,25.75,35.06,8.43,306.6,2.4,7.43,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-15T18:00:00+00:00,25.74,35.46,8.44,301.3,2.4,6.79,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-15T21:00:00+00:00,25.78,33.65,8.46,307.2,3.1,7.45,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-16T00:00:00+00:00,25.52,34.39,8.46,307.1,2.9,7.51,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-16T01:00:00+00:00,25.81,35,8.44,308,3.1,6.71,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-16T04:00:00+00:00,25.58,32.27,8.45,306.1,2.8,6.93,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-16T10:00:00+00:00,25.57,34.28,8.45,299,2.9,7.33,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-16T13:00:00+00:00,25.7,34.71,8.45,300.1,2.5,7.26,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-16T14:00:00+00:00,25.85,34.42,8.46,300.4,3.2,7.06,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-16T17:00:00+00:00,25.61,33,8.43,300.6,3,7.1,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-16T20:00:00+00:00,25.52,33.73,8.43,301.8,2.6,7.51,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-17T02:00:00+00:00,25.6,34.43,8.45,307.6,2.6,7.13,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-17T05:00:00+00:00,25.82,32.86,8.44,308.1,2.9,7.22,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-17T11:00:00+00:00,25.7,34.33,8.46,302.8,3.1,7.06,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-17T17:00:00+00:00,25.55,33.85,8.45,305.1,3,7.35,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-17T18:00:00+00:00,25.53,34.07,8.44,298.8,3,7.52,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-18T00:00:00+00:00,25.86,32.72,8.47,304,2.5,7.47,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-18T03:00:00+00:00,25.66,33.28,8.46,305.6,2.8,6.85,1.5
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-18T09:00:00+00:00,25.59,32.95,8.46,306.8,2.8,7.37,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-18T15:00:00+00:00,25.7,33.88,8.44,306.1,3.3,7.62,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-18T18:00:00+00:00,25.83,33,8.46,303.8,2.9,7.12,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-19T00:00:00+00:00,25.53,32.78,8.45,300.1,2.5,7.19,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-19T06:00:00+00:00,25.51,34.62,8.44,301.9,3.1,7.68,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-19T09:00:00+00:00,25.73,32.41,8.43,302.1,2.8,7.61,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-19T12:00:00+00:00,25.79,32.69,8.46,304.4,2.9,6.79,1.5
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-19T15:00:00+00:00,25.5,32.47,8.47,307.2,3,6.78,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-19T16:00:00+00:00,25.66,33.46,8.45,298.6,3.3,7.08,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-19T19:00:00+00:00,25.53,33.86,8.43,300.3,3,7.55,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-19T22:00:00+00:00,25.7,34.05,8.45,307.6,2.4,7.42,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-19T23:00:00+00:00,25.77,34.98,8.47,304.1,2.4,7.27,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-20T05:00:00+00:00,25.67,34.32,8.45,299.6,3.3,7.03,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-20T08:00:00+00:00,25.65,34.95,8.45,302.5,3.1,7.12,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-20T11:00:00+00:00,25.8,32.13,8.44,305.3,3.2,7.2,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-20T12:00:00+00:00,25.49,32.4,8.44,307.4,2.9,7.04,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-20T15:00:00+00:00,25.64,33.81,8.47,298.9,3,7.39,1.5
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-20T18:00:00+00:00,25.55,34.15,8.47,300.1,2.5,7.55,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-20T21:00:00+00:00,25.76,32.83,8.46,305.1,2.9,7.37,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-20T22:00:00+00:00,25.71,33.4,8.46,304.8,2.8,6.81,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-21T04:00:00+00:00,25.77,34.24,8.44,306.8,2.4,6.77,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-21T10:00:00+00:00,25.82,33.21,8.47,307.6,2.6,6.75,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-21T13:00:00+00:00,25.72,34.73,8.43,307.2,2.5,6.86,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-21T19:00:00+00:00,25.8,31.88,8.46,302.9,3,7.4,1.5
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-21T20:00:00+00:00,25.72,34.41,8.45,307.2,2.9,6.98,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-21T21:00:00+00:00,25.84,32.62,8.46,304.8,3.1,7.27,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-21T22:00:00+00:00,25.49,33.83,8.45,299.1,2.4,7.64,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-21T23:00:00+00:00,25.54,33.75,8.47,306.8,3.1,7.32,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-22T00:00:00+00:00,25.83,33.91,8.46,305.7,2.7,7.06,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-22T01:00:00+00:00,25.67,32.44,8.45,301.6,2.5,7.51,1.4
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-22T07:00:00+00:00,25.48,33.21,8.46,300.5,3,7.24,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-22T13:00:00+00:00,25.58,33.09,8.45,302.5,2.8,7.08,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-22T14:00:00+00:00,25.79,34.23,8.45,302.6,2.4,7.03,1.2
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-22T17:00:00+00:00,25.58,32.77,8.45,307.6,3.3,7.03,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-22T20:00:00+00:00,25.52,32.48,8.45,308,3.2,7.28,1.1
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-22T23:00:00+00:00,25.61,34.9,8.47,305.2,3.3,7.65,1.3
IND-4580-W,Ocean Observer 51,22.1054,20.787,2021-11-23T02:00:00+00:00,25.64,33.78,8.44,305.8,2.6,6.8,1.4
