buoy_id,buoy_name,latitude,longitude,timestamp,temperature,salinity,ph,dissolved_oxygen,turbidity,chlorophyll,wave_height
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-28T19:00:00+00:00,13.99,36.97,8.14,256.8,9.1,1.66,7.3
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-28T22:00:00+00:00,16.5,36.93,8.16,254.3,9.2,0.87,7.3
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-29T01:00:00+00:00,15,36.97,8.14,254.8,9,1.42,7.2
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-29T07:00:00+00:00,11.2,36.98,8.16,256.7,8.7,1.13,7.5
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-29T08:00:00+00:00,12.44,36.97,8.16,252.9,9.1,1.51,7.5
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-29T14:00:00+00:00,11.37,37,8.13,257.6,8.9,0.95,7.2
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-29T20:00:00+00:00,15.44,36.94,8.16,251.9,8.9,1.21,7.3
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-29T21:00:00+00:00,13.89,36.86,8.16,252.9,8.8,0.88,7.3
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-30T03:00:00+00:00,12.51,36.91,8.14,255.5,8.9,1.36,7.2
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-30T06:00:00+00:00,12.38,36.95,8.14,257.5,8.5,1.18,7.4
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-30T07:00:00+00:00,16.31,37,8.14,259.5,9,1.54,7.6
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-30T13:00:00+00:00,13.45,36.93,8.14,253.7,8.7,1.47,7.5
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-30T14:00:00+00:00,15.39,36.87,8.15,257.3,9.1,0.94,7.4
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-30T15:00:00+00:00,11.8,36.97,8.14,253.9,9.4,1.77,7.4
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-30T16:00:00+00:00,14.05,36.9,8.15,256.3,8.8,1.23,7.6
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-30T19:00:00+00:00,15.54,36.92,8.15,252.8,9.3,0.79,7.2
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-31T01:00:00+00:00,12.38,36.93,8.14,252.4,9,1.31,7.3
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-31T02:00:00+00:00,11.08,36.97,8.15,255.6,9,1.37,7.4
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-31T05:00:00+00:00,14.33,37.04,8.16,253.7,8.7,1,7.5
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-31T06:00:00+00:00,11.8,36.87,8.17,252.8,8.8,0.97,7.5
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-31T12:00:00+00:00,13.49,36.97,8.14,254.4,9.3,1.51,7.4
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-31T18:00:00+00:00,11.31,37,8.15,255.6,8.5,0.82,7.6
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-31T19:00:00+00:00,15.24,37.03,8.17,256.6,8.7,1.03,7.4
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-31T20:00:00+00:00,14.23,37.01,8.15,256.4,8.9,1.64,7.4
IND-7570-X,ReefWatch 55,-55.3022,85.4265,2022-01-31T21:00:00+00:00,13.7,36.89,8.17,257.1,8.6,1.2,7.5
